eno;sport;event
335;Ice Hockey;Ice Hockey Women's Ice Hockey
336;Biathlon;Biathlon Men's 20 kilometres
337;Rowing;Rowing Men's Lightweight Double Sculls
338;Judo;Judo Men's Lightweight
339;Athletics;Athletics Men's High Jump
340;Athletics;Athletics Women's Long Jump
341;Cross Country Skiing;Cross Country Skiing Men's 50 kilometres
342;Sailing;Sailing Men's Windsurfer
343;Cycling;Cycling Men's 50 kilometres
344;Canoeing;Canoeing Men's Kayak Doubles, 200 metres
345;Wrestling;Wrestling Men's Super-Heavyweight, Greco-Roman
346;Short Track Speed Skating;Short Track Speed Skating Men's 5,000 metres Relay
347;Figure Skating;Figure Skating Men's Singles
348;Shooting;Shooting Men's Running Target, Single Shot
349;Alpine Skiing;Alpine Skiing Women's Giant Slalom
350;Shooting;Shooting Men's Unknown Event
351;Tennis;Tennis Women's Singles
352;Athletics;Athletics Men's 20 kilometres Walk
353;Rowing;Rowing Men's Coxless Fours
354;Biathlon;Biathlon Men's 4 x 7.5 kilometres Relay
355;Sailing;Sailing Women's Windsurfer
356;Athletics;Athletics Men's 110 metres Hurdles
357;Fencing;Fencing Men's epee, Team
358;Shooting;Shooting Women's Sporting Pistol, 25 metres
359;Water Polo;Water Polo Men's Water Polo
360;Tennis;Tennis Women's Doubles
361;Weightlifting;Weightlifting Men's Super-Heavyweight
362;Boxing;Boxing Men's Super-Heavyweight
363;Boxing;Boxing Women's Flyweight
364;Short Track Speed Skating;Short Track Speed Skating Women's 3,000 metres Relay
365;Fencing;Fencing Men's Foil, Team
366;Alpine Skiing;Alpine Skiing Men's Downhill
367;Shooting;Shooting Women's Air Rifle, 10 metres
368;Archery;Archery Men's Pole Archery, Small Birds, Team
369;Modern Pentathlon;Modern Pentathlon Women's Individual
370;Athletics;Athletics Women's Hammer Throw
371;Fencing;Fencing Women's epee, Individual
